objectid,nuts318cd,nuts318nm,GDHI_2010,GDHI_2011,GDHI_2012,GDHI_2013,GDHI_2014,GDHI_2015,GDHI_2016,GDHI_2017,GDHI_2018,Growth_2010,Growth_2011,Growth_2012,Growth_2013,Growth_2014,Growth_2015,Growth_2016,Growth_2017,Growth_2018
40,UKF12,East Derbyshire,3732,3830,3982,4077,4194,4466,4425,4558,4773,0.6,2.6,4,2.4,2.9,6.5,-0.9,3,4.7
41,UKF13,South and West Derbyshire,7606,7946,8237,8647,8870,9459,9598,9842,10317,0.8,4.5,3.7,5,2.6,6.6,1.5,2.5,4.8
42,UKF14,Nottingham,3255,3319,3455,3670,3806,4017,4151,4278,4350,1.7,1.9,4.1,6.2,3.7,5.5,3.3,3.1,1.7
43,UKF15,North Nottinghamshire,6429,6503,6714,6897,7207,7644,7670,7907,8347,0,1.2,3.2,2.7,4.5,6.1,0.3,3.1,5.6
44,UKF16,South Nottinghamshire,5563,5622,5914,6136,6365,6562,6621,6867,7073,-0.4,1.1,5.2,3.8,3.7,3.1,0.9,3.7,3
45,UKF21,Leicester,3658,3734,3908,4019,4165,4369,4507,4641,4713,3.9,2.1,4.6,2.9,3.6,4.9,3.2,3,1.6
46,UKF22,Leicestershire CC and Rutland,11113,11436,11849,12178,12622,13285,13296,13916,14576,1.3,2.9,3.6,2.8,3.6,5.2,0.1,4.7,4.7
47,UKF24,West Northamptonshire,6033,6459,6785,7021,7316,7803,7942,8345,8756,1,7.1,5,3.5,4.2,6.6,1.8,5.1,4.9
48,UKF25,North Northamptonshire,4863,5032,5281,5517,5752,6128,6196,6503,6851,0.4,3.5,5,4.5,4.3,6.5,1.1,5,5.3
49,UKF30,Lincolnshire,10773,11123,11518,11816,12267,12711,12819,13348,13942,2.4,3.2,3.6,2.6,3.8,3.6,0.8,4.1,4.4
50,UKG11,"Herefordshire, County of",3029,3137,3232,3367,3435,3617,3658,3717,3934,2.8,3.6,3,4.2,2,5.3,1.1,1.6,5.8
51,UKG12,Worcestershire,9334,9570,9900,10334,10767,11412,11669,11966,12710,-0.3,2.5,3.5,4.4,4.2,6,2.3,2.5,6.2
52,UKG13,Warwickshire,9494,9758,10128,10513,11029,11810,12418,12641,13296,0.8,2.8,3.8,3.8,4.9,7.1,5.1,1.8,5.2
53,UKG21,Telford and Wrekin,2275,2378,2480,2545,2627,2779,2859,2935,3028,2.8,4.6,4.3,2.6,3.2,5.8,2.9,2.7,3.2
